iso2c,year,IAFR_BP6_USD,IAD_BP6_USD,IAP_BP6_USD,IAO_BP6_USD,IARFR_BP6_USD
PK,2007,22701.0158972965,1249,330,5651,15471.0158972965
PK,2008,16772.7800371821,1269,111,6255,9137.78003718211
PK,2009,23426.7625335603,1897.07,153,6204,15145.6925335603
PK,2010,26222.7146395703,1424.5,177.9,6648.8,17950.6146395703
PK,2011,26650.2082073776,1474.5,196,7332,17622.7082073776
PK,2012,23711.4381375768,1605.40214920501,378.648006382329,8180.52552167016,13525.2078363039
PK,2013,17193.5348416659,1670.16806559369,491.449298008855,7663.82239730411,7346.77155153082
PK,2014,24104.0167300834,1783.60518679741,386.7127664871,7423.86579363181,14425.0244771495
PK,2015,29306.0982106837,1860.16868659082,326.611321527798,7678.77765187906,19421.7391793483
PK,2016,32352.7961824021,1946.81453963418,359.075710496496,7967.17556326746,22057.5685130639
PK,2017,28586.1218422846,2112.37358272974,489.610370287768,7496.59177458325,18455.9753004684
PK,2018,21487.2199514229,2091.85164955104,438.702922333839,7176.90640061138,11751.8403750491
PK,2019,27085.0558650723,2030.4572390834,324.302166509282,8268.68895585345,16442.601435502602
PL,2003,61907.2182132397,5513,4143,18097,34154.2182132397
PL,2004,86126.0594133981,8323,6711,34005,36784.0594133981
PL,2005,98602.7523011177,11506,8780,35246,42571.7523011177
PL,2006,126746.052578846,21779,13841,42092,48483.0525788457
PL,2007,168538.489524535,31432,21983,48095,65745.4895245349
PL,2008,147821.60393354,33464,10588,39227,62177.6039335404
PL,2009,169069.791249465,40436,14073,33992,79587.791249465
PL,2010,206115.432004386,62836,14695,31388,93498.432004386
PL,2011,212628.346597007,65739,10701,32555,97867.3465970065
PL,2012,236921.268962518,72088,13019,36793,108912.268962518
PL,2013,237660.003098478,71513,16221,38084,106223.003098478
PL,2014,230773.351172953,65926,20369,36161,100440.351172953
PL,2015,229363.579950419,62148,30998,36568,94920.5799504186
PL,2016,246425.82698047,63966,27207,37408,114380.82698047
PL,2017,274058.691024109,72959,35523,47492,113276.691024109
PL,2018,273201.989912589,66185,35550,49189,116965.989912589
PL,2019,291163.460476771,69299,38177,50126,128401.460476771
